Division,Year of Incident,Call Type,Type of Incident,Time of Incident,Day of the Week,Victim Race,Modus Operandi (MO),Family Offense,Incident Address,City,State,Zip Code,Latitude,Longitude,Date,Victim_Age
NORTH CENTRAL,2020,09 - THEFT,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,16:30,Mon,,SUSPECT TOOK COMP'S VEHICLE WITHOUT PERMISSION.,FALSE,7740 MCCALLUM BLVD,DALLAS,TX,75252,32.987857,-96.772993,4/17/2020,29
NORTH CENTRAL,2018,58 - ROUTINE INVESTIGATION,"THEFT OF PROP > OR EQUAL $750 <$2,500 (NOT SHOPLIFT) PC31.03(e3)",12:00,Thu,Black,UNK SUSP TOOK COMPS PROPERTY,FALSE,19383 PRESTON RD,DALLAS,TX,75252,33.011661,-96.795535,10/3/2018,56
NORTHEAST,2020,PSE/11V - BURG MOTOR VEH,UNAUTHORIZED USE OF MOTOR VEH - (ATT) TRUCK OR BUS,21:00,Sat,,SUSPECT DAMAGED VEHICLE DOOR AND INGNITION,FALSE,8703 E R L THORNTON FWY,DALLAS,TX,75228,32.795842,-96.694137,9/27/2020,20
NORTH CENTRAL,2018,PSE/09 - THEFT,THEFT OF PROP > OR EQUAL $100 <$750 (NOT SHOPLIFT) PC31.03(e2A),20:00,Thu,White,KNOWN SUSPECT REMOVED PROPERTY OF LOCATION W/O PERMISSION,FALSE,8502 EDGEMERE RD,DALLAS,TX,75225,32.866661,-96.795266,7/11/2018,57
SOUTHWEST,2021,09V - UUMV,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,9:00,Mon,,UNKNOWN SUSP TOOK VEHICLE WITHOUT CONSENT,FALSE,2354 HARDWICK ST,DALLAS,TX,75208,32.772861,-96.826634,4/13/2021,32
SOUTHWEST,2020,6X - MAJOR DIST (VIOLENCE),CRIM MISCHIEF > OR EQUAL $100 < $750,16:00,Sat,White,SUSP THREW ROCK CAUSING DAMAGE TO WINDOW,FALSE,3019 BICKERS ST,DALLAS,TX,75212,32.787939,-96.869423,5/9/2020,42
CENTRAL,2021,,LOST PROPERTY (NO OFFENSE),0:50,Fri,Hispanic or Latino,,,1914 COMMERCE ST,DALLAS,TX,75201,32.78078,-96.794907,1/7/2021,28
SOUTH CENTRAL,2019,27 - DEAD PERSON,UNEXPLAINED DEATH (NO OFFENSE),11:02,Thu,Unknown,,,3155 W WHEATLAND RD,DALLAS,TX,75237,32.647583,-96.87266,3/19/2019,72
NORTHEAST,2020,PSE/11V - BURG MOTOR VEH,BMV,19:00,Sun,Asian,UNKNOWN SUSP(S) TOOK THE COMP'S PROPERTY WITHOUT CONSENT,FALSE,13030 AUDELIA RD,DALLAS,TX,75243,32.924254,-96.71798,10/26/2020,83
NORTHEAST,2019,09V - UUMV,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,19:30,Mon,Black,SUSPECT ENTERED AND TOOK THE COMP VEHICLE WITHOUT CONSENT. NFI,FALSE,11819 BUSHMILLS RD,DALLAS,TX,75243,32.910094,-96.70801,6/11/2019,42
CENTRAL,2020,DASF-DIST ACTIVE SHOOTER FOOT,CRIM MISCHIEF > OR EQUAL $100 < $750,13:30,Thu,,SUSPECT SHOT AT A VEHICLE AND WAS RECKLESS IF IT WAS OCCUPPIED,FALSE,910 TEXAS ST,DALLAS,TX,75204,32.790681,-96.791106,5/7/2020,59
CENTRAL,2019,11V - BURG MOTOR VEH,BMV,19:00,Thu,White,,,1300 N FITZHUGH AVE,DALLAS,TX,75204,32.802727,-96.772328,2/21/2019,46
NORTHEAST,2020,40/01 - OTHER,UNEXPLAINED DEATH (NO OFFENSE),10:19,Sat,White,,,8728 FENCHURCH RD,DALLAS,TX,75238,32.867734,-96.715466,2/29/2020,36
NORTH CENTRAL,2019,27 - DEAD PERSON,UNEXPLAINED DEATH (NO OFFENSE),18:00,Tue,White,,,5353 KELLER SPRINGS RD,DALLAS,TX,75248,32.968615,-96.816596,4/3/2019,22
NORTH CENTRAL,2016,41/20 - ROBBERY - IN PROGRESS,ROBBERY OF BUSINESS (AGG),0:00,Thu,,TWO UNKNOWN B/M'S DEMANDED PROPERTY AT GUNPOINT AND FLED ON FOOT.,FALSE,14106 DALLAS PKWY,DALLAS,TX,75254,32.939948,-96.821749,3/31/2016,97
CENTRAL,2020,,BMV,17:30,Fri,White,,,3401 LEE PKWY,DALLAS,TX,75219,32.809584,-96.804088,6/7/2020,20
NORTHEAST,2019,40/01 - OTHER,UNEXPLAINED DEATH (NO OFFENSE),12:30,Mon,White,,,11209 LANEWOOD CIR,DALLAS,TX,75218,32.856725,-96.689305,2/18/2019,32
SOUTH CENTRAL,2020,6X - MAJOR DIST (VIOLENCE),ASSAULT -BODILY INJURY ONLY,17:58,Wed,Black,,,1515 E ELMORE AVE,DALLAS,TX,75216,32.71698,-96.802527,1/15/2020,53
NORTHEAST,2019,40/01 - OTHER,UNEXPLAINED DEATH (NO OFFENSE),20:20,Sat,White,,,10130 APPLE CREEK DR,DALLAS,TX,75243,32.914638,-96.719339,9/28/2019,30
NORTHWEST,2020,11V - BURG MOTOR VEH,BMV,17:55,Fri,White,"SUSP BROKE OUT COMP'S VEH WINDOW, ENTERED, TOOK PROPERTY",FALSE,2222 MEDICAL DISTRICT DR,DALLAS,TX,75235,32.813025,-96.831052,7/17/2020,24
NORTHWEST,2020,,"THEFT OF PROP (AUTO ACC) > OR EQUAL $750 <$2,500 (NOT EMP) PC31.03 (e3)",9:30,Sat,Black,,,2514 COMMUNITY DR,DALLAS,TX,75220,32.855741,-96.876522,8/29/2020,41
SOUTH CENTRAL,2019,40 - OTHER,TERRORISTIC THREAT FEAR IMMINENT SBI,1:25,Mon,Black,,,2911 E LEDBETTER DR,DALLAS,TX,75216,32.694857,-96.771562,10/14/2019,30
NORTHEAST,2021,58 - ROUTINE INVESTIGATION,ASSAULT -VERBAL THREAT,12:00,Sat,White,SUSP THREATEN TO STAB COMP.,FALSE,8200 SOUTHWESTERN BLVD,DALLAS,TX,75206,32.857873,-96.765355,1/22/2021,24
NORTHEAST,2020,,BMV,16:00,Fri,White,,,8560 PARK LN,DALLAS,,75231,32.870336,-96.755395,4/25/2020,70
CENTRAL,2021,40 - OTHER,UNLAWFUL DISCLOSURE OR PROMOTION OF INTIMATE VISUAL MATERIAL,21:00,Tue,White,UNK SUSP THREAT TO RELEASE INTIMATE PICTURES CAUSE FINANCIAL HARM,FALSE,2924 HALLSVILLE ST,DALLAS,TX,75204,32.796322,-96.79539,1/7/2021,31
CENTRAL,2020,PSE/11V - BURG MOTOR VEH,BMV,10:30,Mon,White,UNKN SUSP BROKE OUT WINDOW & REMOVED PROPERTY W/O PERMISSION,FALSE,2900 LEMMON AVE,DALLAS,TX,75204,32.804856,-96.797175,12/21/2020,44
CENTRAL,2021,15 - ASSIST OFFICER,PUBLIC INTOXICATION,1:45,Fri,,AP WAS INTOXICATED IN PUBLIC,FALSE,1600 ELM ST,DALLAS,TX,75201,32.781588,-96.79851,1/8/2021,39
NORTHEAST,2019,**PD REQUESTED BY FIRE,UNEXPLAINED DEATH (NO OFFENSE),12:00,Sat,Hispanic or Latino,,,3009 SAN LUCAS AVE,DALLAS,TX,75228,32.831295,-96.664133,2/9/2019,50
NORTHEAST,2019,6XEA - DISTURBANCE EMERG AMB,BURGLARY OF HABITATION - FORCED ENTRY,9:30,Thu,White,,,5065 AMESBURY DR,DALLAS,TX,75206,32.849188,-96.764434,1/18/2019,59
SOUTHEAST,2021,40 - OTHER,CRIMINAL TRESPASS WARNING,8:40,Thu,,KNOWN SUSPECT WAS CRIMINALLY TRESPASSED FROM LOCATION,FALSE,10208 LAKE JUNE RD,DALLAS,TX,75217,32.733986,-96.647726,1/7/2021,28
NORTH CENTRAL,2020,40/01 - OTHER,UNEXPLAINED DEATH (NO OFFENSE),5:00,Mon,Black,,,8550 MIDPARK RD,DALLAS,TX,75240,32.936496,-96.757271,1/21/2020,50
CENTRAL,2020,,BMV,10:00,Fri,Black,,,2108 PACIFIC AVE,DALLAS,TX,75201,32.783529,-96.793142,1/11/2020,44
SOUTHWEST,2019,6X - MAJOR DIST (VIOLENCE),VIO BOND/PROTECTIVE ORDER,6:50,Sat,Hispanic or Latino,,,618 S WINNETKA AVE,DALLAS,TX,75208,32.739679,-96.841746,12/28/2019,29
NORTHEAST,2019,20 - ROBBERY,ASSAULT (AGG) -DEADLY WEAPON,23:30,Thu,Hispanic or Latino,,,8465 SOUTHWESTERN BLVD,DALLAS,TX,75206,32.861479,-96.762509,8/9/2019,56
NORTHEAST,2019,40/01 - OTHER,UNEXPLAINED DEATH (NO OFFENSE),2:40,Thu,White,,,8200 WALNUT HILL LN,DALLAS,TX,75231,32.883139,-96.763574,9/19/2019,26
SOUTHEAST,2020,11R - BURG OF RES,BURGLARY OF HABITATION - FORCED ENTRY,19:00,Mon,White,"UNK SUSP BROKE  WINDOW, ENTERED COMP'S RESD, AND STOLE PROPERTY",FALSE,8917 CRAIGE DR,DALLAS,TX,75217,32.736081,-96.665792,12/22/2020,75
NORTH CENTRAL,2021,32 - SUSPICIOUS PERSON,SUSPICIOUS PERSON MIR (MISCELLANEOUS INCIDENT REPORT NO OFFENSE),21:00,Thu,,MIR,FALSE,11803 PRESTON RD,DALLAS,TX,75230,32.909824,-96.80406,1/7/2021,67
